%time	timestep	speed	energy
4.19055	135	3.55788e+08	4.27223e-22
8.3238	270	3.60719e+08	3.08628e-21
12.4707	405	3.59529e+08	1.00199e-20
16.6421	540	3.57428e+08	1.7854e-20
20.8141	675	3.57364e+08	5.69494e-20
24.9685	810	3.58888e+08	1.53816e-19
29.1051	945	3.60429e+08	2.57147e-19
33.278	1080	3.57286e+08	7.00753e-19
37.447	1215	3.5763e+08	1.75018e-18
41.5933	1350	3.59582e+08	2.79197e-18
45.737	1485	3.59812e+08	6.75493e-18
49.9241	1620	3.56079e+08	1.57405e-17
54.0645	1755	3.60102e+08	2.40408e-17
58.2109	1890	3.59573e+08	5.20321e-17
62.3601	2025	3.59336e+08	1.12757e-16
66.5152	2160	3.58821e+08	1.65142e-16
70.6699	2295	3.58861e+08	3.21912e-16
74.855	2430	3.56245e+08	6.46473e-16
79.0097	2565	3.58859e+08	9.08665e-16
83.1657	2700	3.58747e+08	1.60151e-15
87.3125	2835	3.59545e+08	2.97362e-15
91.461	2970	3.59394e+08	4.01209e-15
95.6369	3105	3.57032e+08	6.44031e-15
99.7987	3240	3.58246e+08	1.10239e-14
104.053	3375	3.50444e+08	1.42729e-14
108.484	3510	3.36478e+08	2.10226e-14
112.958	3645	3.33241e+08	3.31267e-14
117.391	3780	3.36364e+08	4.11607e-14
121.664	3915	3.48886e+08	5.58967e-14
126.051	4050	3.39904e+08	8.12311e-14
130.38	4185	3.44368e+08	9.67299e-14
134.659	4320	3.4848e+08	1.22176e-13
138.896	4455	3.51845e+08	1.63936e-13
143.15	4590	3.50476e+08	1.87301e-13
147.397	4725	3.51072e+08	2.21305e-13
151.66	4860	3.49768e+08	2.75481e-13
155.913	4995	3.50525e+08	3.01788e-13
160.177	5130	3.49666e+08	3.356e-13
164.442	5265	3.49546e+08	3.91027e-13
168.681	5400	3.51775e+08	4.10694e-13
172.931	5535	3.50767e+08	4.31785e-13
177.18	5670	3.50955e+08	4.75652e-13
181.443	5805	3.49711e+08	4.78344e-13
185.776	5940	3.44097e+08	4.77931e-13
190.007	6075	3.5238e+08	5.03649e-13
194.241	6210	3.52134e+08	4.83956e-13
198.476	6345	3.52031e+08	4.59019e-13
202.729	6480	3.50557e+08	4.70155e-13
206.967	6615	3.51858e+08	4.31261e-13
211.224	6750	3.50212e+08	3.85991e-13
215.615	6885	3.39575e+08	3.8845e-13
219.862	7020	3.51022e+08	3.40622e-13
224.088	7155	3.52789e+08	2.84697e-13
228.4	7290	3.45783e+08	2.83626e-13
232.652	7425	3.50629e+08	2.39783e-13
236.899	7560	3.51042e+08	1.85087e-13
241.141	7695	3.51505e+08	1.81858e-13
245.372	7830	3.52366e+08	1.51256e-13
249.606	7965	3.52119e+08	1.07671e-13
253.814	8100	3.54304e+08	1.02649e-13
258.052	8235	3.51828e+08	8.66528e-14
262.285	8370	3.52271e+08	5.8534e-14
266.579	8505	3.4716e+08	5.27036e-14
271.087	8640	3.30736e+08	4.60712e-14
275.439	8775	3.42619e+08	3.16172e-14
279.69	8910	3.50707e+08	2.64813e-14
283.883	9045	3.55562e+08	2.3882e-14
288.193	9180	3.45952e+08	1.75879e-14
292.578	9315	3.40041e+08	1.41473e-14
296.931	9450	3.42489e+08	1.26627e-14
301.273	9585	3.43396e+08	9.9624e-15
305.675	9720	3.38691e+08	8.0291e-15
309.992	9855	3.45311e+08	6.98187e-15
314.289	9990	3.46968e+08	5.57722e-15
318.596	10125	3.46182e+08	4.50191e-15
322.979	10260	3.40191e+08	3.84439e-15
327.305	10395	3.44656e+08	3.02862e-15
331.636	10530	3.44224e+08	2.37887e-15
335.97	10665	3.44013e+08	2.01301e-15
340.375	10800	3.38474e+08	1.58276e-15
344.734	10935	3.42048e+08	1.18634e-15
349.077	11070	3.43268e+08	9.77677e-16
353.397	11205	3.45152e+08	7.85177e-16
357.753	11340	3.42312e+08	5.66691e-16
362.072	11475	3.45137e+08	4.39179e-16
366.404	11610	3.44188e+08	3.59309e-16
370.712	11745	3.46111e+08	2.58472e-16
375.003	11880	3.47487e+08	1.82731e-16
379.274	12015	3.49031e+08	1.46278e-16
383.559	12150	3.47975e+08	1.08495e-16
387.861	12285	3.46552e+08	7.21616e-17
392.228	12420	3.41418e+08	5.34773e-17
396.571	12555	3.4332e+08	4.0722e-17
400.908	12690	3.43757e+08	2.80596e-17
405.274	12825	3.41474e+08	2.04149e-17
409.657	12960	3.40181e+08	1.58188e-17
413.996	13095	3.43633e+08	1.19612e-17
418.278	13230	3.48177e+08	1.00115e-17
422.602	13365	3.44791e+08	8.66267e-18
426.895	13500	3.47303e+08	6.99589e-18
431.173	13635	3.48536e+08	6.12649e-18
435.487	13770	3.45588e+08	5.75378e-18
439.801	13905	3.45642e+08	4.96007e-18
