2025-12-10T06:03:27.074642 7.87
2025-12-10T06:03:27.075642 rssi: -45.00
2025-12-10T06:03:27.076142 time_since_last_packet: 125
2025-12-10T06:03:27.076643 ht_gnss: 27.60
2025-12-10T06:03:27.076643 lat_gnss: 33.0943832
2025-12-10T06:03:27.077143 lon_gnss: -131.2078094
2025-12-10T06:03:27.077643 battery_voltage: 7.87
2025-12-10T06:03:27.078143 rssi: -45.00
2025-12-10T06:03:27.078643 time_since_last_packet: 125
2025-12-10T06:03:27.078643 ht_gnss: 27.60
2025-12-10T06:03:27.079142 lat_gnss: 33.0943832
2025-12-10T06:03:27.079642 lon_gnss: -131.2078094
2025-12-10T06:03:27.079642 battery_voltage: 7.87
2025-12-10T06:03:27.079642 rssi: -45.00
2025-12-10T06:03:27.079642 time_since_last_packet: 125
2025-12-10T06:03:27.989661 temperature > 80 C: 69
2025-12-10T06:03:27.989661 subsystem_status: 0
2025-12-10T06:03:27.990666 flight_mode: 1
2025-12-10T06:03:27.992171 low_power_mode: 0
2025-12-10T06:03:27.992671 status_events: 9
2025-12-10T06:03:27.993171 acceleration: 0.3000
2025-12-10T06:03:27.996671 height_pressure: 26.10
2025-12-10T06:03:27.997172 height_gnss: 22.70
2025-12-10T06:03:28.000674 lat_gnss: 46.9739456
2025-12-10T06:03:28.001179 lon_gnss: 177.1400146
2025-12-10T06:03:28.004684 battery_voltage: 9.67
2025-12-10T06:03:28.005186 rssi: -59.00
2025-12-10T06:03:28.008300 time_since_last_packet: 125
2025-12-10T06:03:28.134752 temperature > 80 C: 62
2025-12-10T06:03:28.135250 subsystem_status: 1
2025-12-10T06:03:28.135250 flight_mode: 0
2025-12-10T06:03:28.135750 low_power_mode: 0
2025-12-10T06:03:28.136249 status_events: 2
2025-12-10T06:03:28.139755 acceleration: 14.6700
2025-12-10T06:03:28.139755 height_pressure: 24.70
2025-12-10T06:03:28.143967 height_gnss: 28.30
2025-12-10T06:03:28.144965 lat_gnss: 22.3228836
2025-12-10T06:03:28.147964 lon_gnss: -68.1328277
2025-12-10T06:03:28.148464 battery_voltage: 5.21
2025-12-10T06:03:28.148464 rssi: -35.00
2025-12-10T06:03:28.152212 time_since_last_packet: 126
2025-12-10T06:03:28.278095 temperature > 80 C: 29
2025-12-10T06:03:28.278596 subsystem_status: 3
2025-12-10T06:03:28.279097 flight_mode: 0
2025-12-10T06:03:28.279596 low_power_mode: 0
2025-12-10T06:03:28.279596 status_events: 9
2025-12-10T06:03:28.291185 acceleration: 0.5700
2025-12-10T06:03:28.291685 height_pressure: 17.00
2025-12-10T06:03:28.291685 height_gnss: 5.50
2025-12-10T06:03:28.293184 lat_gnss: 81.1283493
2025-12-10T06:03:28.293184 lon_gnss: 72.8566207
2025-12-10T06:03:28.293684 battery_voltage: 8.28
2025-12-10T06:03:28.295183 rssi: -98.00
2025-12-10T06:03:28.295685 time_since_last_packet: 126
2025-12-10T06:03:28.421187 temperature > 80 C: 87
2025-12-10T06:03:28.422688 subsystem_status: 0
2025-12-10T06:03:28.422688 flight_mode: 0
2025-12-10T06:03:28.422688 low_power_mode: 0
2025-12-10T06:03:28.426867 status_events: 0
2025-12-10T06:03:28.426867 acceleration: 8.0700
2025-12-10T06:03:28.430497 height_pressure: 6.40
2025-12-10T06:03:28.430999 height_gnss: 5.80
2025-12-10T06:03:28.434500 lat_gnss: 69.7942886
2025-12-10T06:03:28.435000 lon_gnss: -136.4525756
2025-12-10T06:03:28.435501 battery_voltage: 6.78
2025-12-10T06:03:28.439529 rssi: -62.00
2025-12-10T06:03:28.439529 time_since_last_packet: 125
2025-12-10T06:03:28.566301 temperature > 80 C: 49
2025-12-10T06:03:28.566301 subsystem_status: 0
2025-12-10T06:03:28.566802 flight_mode: 1
2025-12-10T06:03:28.569801 low_power_mode: 1
2025-12-10T06:03:28.569801 status_events: 4
2025-12-10T06:03:28.570804 acceleration: 14.3900
2025-12-10T06:03:28.574358 height_pressure: 18.20
2025-12-10T06:03:28.574859 height_gnss: 8.50
2025-12-10T06:03:28.578357 lat_gnss: 25.7471408
2025-12-10T06:03:28.578357 lon_gnss: 54.6719741
2025-12-10T06:03:28.582365 battery_voltage: 9.56
2025-12-10T06:03:28.582365 rssi: -58.00
2025-12-10T06:03:28.585864 time_since_last_packet: 126
2025-12-10T06:03:28.711229 temperature > 80 C: 61
2025-12-10T06:03:28.711729 subsystem_status: 7
2025-12-10T06:03:28.711729 flight_mode: 0
2025-12-10T06:03:28.713230 low_power_mode: 0
2025-12-10T06:03:28.713730 status_events: 13
2025-12-10T06:03:28.717581 acceleration: 14.1500
2025-12-10T06:03:28.717581 height_pressure: 11.40
2025-12-10T06:03:28.721586 height_gnss: 18.20
2025-12-10T06:03:28.722586 lat_gnss: 86.5084457
2025-12-10T06:03:28.725585 lon_gnss: -58.1158561
2025-12-10T06:03:28.725585 battery_voltage: 7.86
2025-12-10T06:03:28.726086 rssi: -42.00
2025-12-10T06:03:28.729586 time_since_last_packet: 126
2025-12-10T06:03:28.855760 temperature > 80 C: 80
2025-12-10T06:03:28.856759 subsystem_status: 6
2025-12-10T06:03:28.857261 flight_mode: 1
2025-12-10T06:03:28.858263 low_power_mode: 0
2025-12-10T06:03:28.860763 status_events: 14
2025-12-10T06:03:28.861771 acceleration: 12.8000
2025-12-10T06:03:28.862271 height_pressure: 0.40
2025-12-10T06:03:28.865268 height_gnss: 19.40
2025-12-10T06:03:28.866269 lat_gnss: 44.1681137
2025-12-10T06:03:28.869475 lon_gnss: 27.9859828
2025-12-10T06:03:28.869475 battery_voltage: 10.15
2025-12-10T06:03:28.872997 rssi: -72.00
2025-12-10T06:03:28.873505 time_since_last_packet: 125
2025-12-10T06:03:28.999371 temperature > 80 C: 50
2025-12-10T06:03:29.000393 subsystem_status: 6
2025-12-10T06:03:29.000901 flight_mode: 1
2025-12-10T06:03:29.000901 low_power_mode: 0
2025-12-10T06:03:29.004398 status_events: 2
2025-12-10T06:03:29.004398 acceleration: 1.4800
2025-12-10T06:03:29.008400 height_pressure: 5.50
2025-12-10T06:03:29.008899 height_gnss: 7.10
2025-12-10T06:03:29.012410 lat_gnss: 54.4743766
2025-12-10T06:03:29.012910 lon_gnss: -2.2607829
2025-12-10T06:03:29.012910 battery_voltage: 6.53
2025-12-10T06:03:29.023470 rssi: -81.00
2025-12-10T06:03:29.023974 time_since_last_packet: 126
2025-12-10T06:03:29.139886 temperature > 80 C: 42
2025-12-10T06:03:29.143386 subsystem_status: 4
2025-12-10T06:03:29.143887 flight_mode: 1
2025-12-10T06:03:29.147389 low_power_mode: 0
2025-12-10T06:03:29.147887 status_events: 0
2025-12-10T06:03:29.147887 acceleration: 10.6400
2025-12-10T06:03:29.151404 height_pressure: 4.10
2025-12-10T06:03:29.151905 height_gnss: 17.40
2025-12-10T06:03:29.155904 lat_gnss: 57.4199867
2025-12-10T06:03:29.155904 lon_gnss: 112.5162277
2025-12-10T06:03:29.159404 battery_voltage: 8.68
2025-12-10T06:03:29.159404 rssi: -85.00
2025-12-10T06:03:29.163410 time_since_last_packet: 125
2025-12-10T06:03:29.289536 temperature > 80 C: 20
2025-12-10T06:03:29.290614 subsystem_status: 5
2025-12-10T06:03:29.291624 flight_mode: 0
2025-12-10T06:03:29.292120 low_power_mode: 0
2025-12-10T06:03:29.292624 status_events: 3
2025-12-10T06:03:29.295120 acceleration: 7.5100
2025-12-10T06:03:29.295621 height_pressure: 26.50
2025-12-10T06:03:29.299119 height_gnss: 10.10
2025-12-10T06:03:29.299621 lat_gnss: 53.1399002
2025-12-10T06:03:29.303132 lon_gnss: 163.2720336
2025-12-10T06:03:29.303632 battery_voltage: 9.46
2025-12-10T06:03:29.303632 rssi: -86.00
2025-12-10T06:03:29.307127 time_since_last_packet: 125
2025-12-10T06:03:29.431049 temperature > 80 C: 86
2025-12-10T06:03:29.431049 subsystem_status: 7
2025-12-10T06:03:29.434549 flight_mode: 0
2025-12-10T06:03:29.434549 low_power_mode: 0
2025-12-10T06:03:29.435049 status_events: 14
2025-12-10T06:03:29.445506 acceleration: 3.0000
2025-12-10T06:03:29.446011 height_pressure: 21.40
2025-12-10T06:03:29.446509 height_gnss: 10.80
2025-12-10T06:03:29.447511 lat_gnss: 14.1850786
2025-12-10T06:03:29.447511 lon_gnss: -81.9831542
2025-12-10T06:03:29.448011 battery_voltage: 6.05
2025-12-10T06:03:29.450457 rssi: -95.00
2025-12-10T06:03:29.450965 time_since_last_packet: 126
2025-12-10T06:03:29.575555 temperature > 80 C: 46
2025-12-10T06:03:29.577559 subsystem_status: 3
2025-12-10T06:03:29.578059 flight_mode: 0
2025-12-10T06:03:29.578059 low_power_mode: 0
2025-12-10T06:03:29.581964 status_events: 12
2025-12-10T06:03:29.581964 acceleration: 7.4600
2025-12-10T06:03:29.585963 height_pressure: 8.60
2025-12-10T06:03:29.585963 height_gnss: 17.20
2025-12-10T06:03:29.589463 lat_gnss: 75.4839096
2025-12-10T06:03:29.589463 lon_gnss: -140.9241638
2025-12-10T06:03:29.593968 battery_voltage: 7.02
2025-12-10T06:03:29.593968 rssi: -45.00
2025-12-10T06:03:29.594469 time_since_last_packet: 125
2025-12-10T06:03:29.719909 temperature > 80 C: 50
2025-12-10T06:03:29.721173 subsystem_status: 0
2025-12-10T06:03:29.721173 flight_mode: 1
2025-12-10T06:03:29.724976 low_power_mode: 1
2025-12-10T06:03:29.725477 status_events: 11
2025-12-10T06:03:29.728976 acceleration: 16.6800
2025-12-10T06:03:29.729476 height_pressure: 26.40
2025-12-10T06:03:29.729476 height_gnss: 7.20
2025-12-10T06:03:29.733482 lat_gnss: 89.4687347
2025-12-10T06:03:29.733482 lon_gnss: -4.9284892
2025-12-10T06:03:29.737484 battery_voltage: 8.87
2025-12-10T06:03:29.737983 rssi: -54.00
2025-12-10T06:03:29.741062 time_since_last_packet: 125
2025-12-10T06:03:29.867087 temperature > 80 C: 51
2025-12-10T06:03:29.867591 subsystem_status: 3
2025-12-10T06:03:29.868472 flight_mode: 1
2025-12-10T06:03:29.868472 low_power_mode: 0
2025-12-10T06:03:29.869476 status_events: 6
2025-12-10T06:03:29.872627 acceleration: 7.9700
2025-12-10T06:03:29.872627 height_pressure: 24.00
2025-12-10T06:03:29.876626 height_gnss: 20.40
2025-12-10T06:03:29.877627 lat_gnss: -63.6805076
2025-12-10T06:03:29.880627 lon_gnss: -46.9042167
2025-12-10T06:03:29.880627 battery_voltage: 9.85
2025-12-10T06:03:29.881131 rssi: -86.00
2025-12-10T06:03:29.884637 time_since_last_packet: 125
2025-12-10T06:03:30.010929 temperature > 80 C: 75
2025-12-10T06:03:30.011429 subsystem_status: 4
2025-12-10T06:03:30.011929 flight_mode: 1
2025-12-10T06:03:30.012429 low_power_mode: 1
2025-12-10T06:03:30.015929 status_events: 3
2025-12-10T06:03:30.016429 acceleration: 9.6700
2025-12-10T06:03:30.019428 height_pressure: 18.90
2025-12-10T06:03:30.019428 height_gnss: 14.60
2025-12-10T06:03:30.020936 lat_gnss: 80.7409133
2025-12-10T06:03:30.023936 lon_gnss: 64.2883605
2025-12-10T06:03:30.024436 battery_voltage: 6.85
2025-12-10T06:03:30.028160 rssi: -62.00
2025-12-10T06:03:30.028160 time_since_last_packet: 126
2025-12-10T06:03:30.153057 temperature > 80 C: 53
2025-12-10T06:03:30.155248 subsystem_status: 2
2025-12-10T06:03:30.156258 flight_mode: 0
2025-12-10T06:03:30.156258 low_power_mode: 0
2025-12-10T06:03:30.159252 status_events: 14
2025-12-10T06:03:30.159753 acceleration: 2.6100
2025-12-10T06:03:30.163265 height_pressure: 29.60
2025-12-10T06:03:30.163765 height_gnss: 18.60
2025-12-10T06:03:30.167273 lat_gnss: -1.5079829
2025-12-10T06:03:30.167765 lon_gnss: -94.0556945
2025-12-10T06:03:30.171270 battery_voltage: 8.60
2025-12-10T06:03:30.171771 rssi: -83.00
2025-12-10T06:03:30.171771 time_since_last_packet: 126
2025-12-10T06:03:30.298417 temperature > 80 C: 37
2025-12-10T06:03:30.298917 subsystem_status: 0
2025-12-10T06:03:30.298917 flight_mode: 0
2025-12-10T06:03:30.302422 low_power_mode: 0
2025-12-10T06:03:30.302921 status_events: 0
2025-12-10T06:03:30.306421 acceleration: 10.9000
2025-12-10T06:03:30.306921 height_pressure: 1.90
2025-12-10T06:03:30.306921 height_gnss: 23.90
2025-12-10T06:03:30.310928 lat_gnss: -59.1119956
2025-12-10T06:03:30.310928 lon_gnss: 64.5471954
2025-12-10T06:03:30.314928 battery_voltage: 7.25
2025-12-10T06:03:30.314928 rssi: -61.00
2025-12-10T06:03:30.318927 time_since_last_packet: 125
2025-12-10T06:03:30.444212 temperature > 80 C: 31
2025-12-10T06:03:30.444715 subsystem_status: 1
2025-12-10T06:03:30.445715 flight_mode: 0
2025-12-10T06:03:30.446216 low_power_mode: 0
2025-12-10T06:03:30.446216 status_events: 2
2025-12-10T06:03:30.449715 acceleration: 9.4100
2025-12-10T06:03:30.449715 height_pressure: 23.10
2025-12-10T06:03:30.454221 height_gnss: 8.10
2025-12-10T06:03:30.454721 lat_gnss: 56.0916519
2025-12-10T06:03:30.458220 lon_gnss: -111.4301605
2025-12-10T06:03:30.458220 battery_voltage: 6.15
2025-12-10T06:03:30.458721 rssi: -90.00
2025-12-10T06:03:30.462222 time_since_last_packet: 126
2025-12-10T06:03:30.585809 temperature > 80 C: 85
2025-12-10T06:03:30.586313 subsystem_status: 5
2025-12-10T06:03:30.589312 flight_mode: 1
2025-12-10T06:03:30.589812 low_power_mode: 1
2025-12-10T06:03:30.593319 status_events: 2
2025-12-10T06:03:30.593820 acceleration: 18.4300
2025-12-10T06:03:30.597643 height_pressure: 4.30
2025-12-10T06:03:30.598143 height_gnss: 25.00
2025-12-10T06:03:30.599144 lat_gnss: -85.5637588
2025-12-10T06:03:30.601649 lon_gnss: -104.9259643
2025-12-10T06:03:30.602153 battery_voltage: 11.31
2025-12-10T06:03:30.605652 rssi: -62.00
2025-12-10T06:03:30.606152 time_since_last_packet: 125
2025-12-10T06:03:30.732048 temperature > 80 C: 59
2025-12-10T06:03:30.732551 subsystem_status: 1
2025-12-10T06:03:30.733051 flight_mode: 0
2025-12-10T06:03:30.736880 low_power_mode: 0
2025-12-10T06:03:30.736880 status_events: 1
2025-12-10T06:03:30.737519 acceleration: 7.6900
2025-12-10T06:03:30.741146 height_pressure: 16.60
2025-12-10T06:03:30.741146 height_gnss: 21.40
2025-12-10T06:03:30.745146 lat_gnss: 75.3033218
2025-12-10T06:03:30.745647 lon_gnss: -63.4899444
2025-12-10T06:03:30.749146 battery_voltage: 11.78
2025-12-10T06:03:30.749647 rssi: -48.00
2025-12-10T06:03:30.752653 time_since_last_packet: 125
2025-12-10T06:03:30.877778 temperature > 80 C: 76
2025-12-10T06:03:30.878281 subsystem_status: 0
2025-12-10T06:03:30.878281 flight_mode: 1
2025-12-10T06:03:30.879781 low_power_mode: 0
2025-12-10T06:03:30.879781 status_events: 6
2025-12-10T06:03:30.884043 acceleration: 9.2300
2025-12-10T06:03:30.884542 height_pressure: 6.50
2025-12-10T06:03:30.888543 height_gnss: 16.70
2025-12-10T06:03:30.889545 lat_gnss: -53.0587615
2025-12-10T06:03:30.889545 lon_gnss: -13.4885921
2025-12-10T06:03:30.892527 battery_voltage: 6.71
2025-12-10T06:03:30.893046 rssi: -59.00
2025-12-10T06:03:30.896244 time_since_last_packet: 125
2025-12-10T06:03:31.022383 temperature > 80 C: 77
2025-12-10T06:03:31.022883 subsystem_status: 7
2025-12-10T06:03:31.023382 flight_mode: 1
2025-12-10T06:03:31.023881 low_power_mode: 0
2025-12-10T06:03:31.023881 status_events: 6
2025-12-10T06:03:31.027881 acceleration: 13.9100
2025-12-10T06:03:31.027881 height_pressure: 19.30
2025-12-10T06:03:31.031885 height_gnss: 6.20
2025-12-10T06:03:31.032886 lat_gnss: -18.6588325
2025-12-10T06:03:31.035869 lon_gnss: -10.7398653
2025-12-10T06:03:31.035869 battery_voltage: 7.26
2025-12-10T06:03:31.039868 rssi: -63.00
2025-12-10T06:03:31.039868 time_since_last_packet: 126
2025-12-10T06:03:31.165581 temperature > 80 C: 85
2025-12-10T06:03:31.167084 subsystem_status: 4
2025-12-10T06:03:31.167084 flight_mode: 0
2025-12-10T06:03:31.167584 low_power_mode: 1
2025-12-10T06:03:31.171091 status_events: 1
2025-12-10T06:03:31.171091 acceleration: 10.1200
2025-12-10T06:03:31.175090 height_pressure: 18.40
2025-12-10T06:03:31.175090 height_gnss: 22.10
2025-12-10T06:03:31.179091 lat_gnss: -74.9587783
2025-12-10T06:03:31.179591 lon_gnss: 97.8400650
2025-12-10T06:03:31.179591 battery_voltage: 7.97
2025-12-10T06:03:31.190100 rssi: -78.00
2025-12-10T06:03:31.190602 time_since_last_packet: 125
2025-12-10T06:03:31.315563 temperature > 80 C: 55
2025-12-10T06:03:31.316570 subsystem_status: 4
2025-12-10T06:03:31.317068 flight_mode: 1
2025-12-10T06:03:31.318071 low_power_mode: 0
2025-12-10T06:03:31.318572 status_events: 12
2025-12-10T06:03:31.318572 acceleration: 9.7800
2025-12-10T06:03:31.319067 height_pressure: 13.50
2025-12-10T06:03:31.319567 height_gnss: 10.80
2025-12-10T06:03:31.322574 lat_gnss: -23.2566604
2025-12-10T06:03:31.323073 lon_gnss: 146.6995544
2025-12-10T06:03:31.327074 battery_voltage: 8.28
2025-12-10T06:03:31.327074 rssi: -87.00
2025-12-10T06:03:31.330574 time_since_last_packet: 125
2025-12-10T06:03:31.456082 temperature > 80 C: 23
2025-12-10T06:03:31.456582 subsystem_status: 2
2025-12-10T06:03:31.457089 flight_mode: 1
2025-12-10T06:03:31.467619 low_power_mode: 0
2025-12-10T06:03:31.468123 status_events: 7
2025-12-10T06:03:31.468624 acceleration: 15.1200
2025-12-10T06:03:31.468624 height_pressure: 20.40
2025-12-10T06:03:31.469124 height_gnss: 9.10
2025-12-10T06:03:31.469623 lat_gnss: -2.5617399
2025-12-10T06:03:31.469623 lon_gnss: -89.1390380
2025-12-10T06:03:31.469623 battery_voltage: 11.96
2025-12-10T06:03:31.470625 rssi: -82.00
2025-12-10T06:03:31.474116 time_since_last_packet: 126
2025-12-10T06:03:31.598861 temperature > 80 C: 52
2025-12-10T06:03:31.599369 subsystem_status: 4
2025-12-10T06:03:31.601375 flight_mode: 1
2025-12-10T06:03:31.601375 low_power_mode: 0
2025-12-10T06:03:31.605375 status_events: 4
2025-12-10T06:03:31.605375 acceleration: 14.2300
2025-12-10T06:03:31.609375 height_pressure: 10.70
2025-12-10T06:03:31.609375 height_gnss: 25.80
2025-12-10T06:03:31.609874 lat_gnss: -55.9776077
2025-12-10T06:03:31.613359 lon_gnss: -17.0094470
2025-12-10T06:03:31.613863 battery_voltage: 5.93
2025-12-10T06:03:31.617361 rssi: -32.00
2025-12-10T06:03:31.617861 time_since_last_packet: 125
2025-12-10T06:03:31.743817 temperature > 80 C: 21
