2025-12-10T05:07:09.314510 -130.1704101
2025-12-10T05:07:09.316019 battery_voltage: 6.11
2025-12-10T05:07:09.316019 rssi: -44.00
2025-12-10T05:07:09.316520 time_since_last_packet: 126
2025-12-10T05:07:10.236029 temperature > 80 C: 69
2025-12-10T05:07:10.236529 subsystem_status: 0
2025-12-10T05:07:10.237029 flight_mode: 1
2025-12-10T05:07:10.237529 low_power_mode: 0
2025-12-10T05:07:10.238029 status_events: 30
2025-12-10T05:07:10.238529 acceleration: 0.3000
2025-12-10T05:07:10.239029 height_pressure: 646.10
2025-12-10T05:07:10.242030 height_gnss: 392.70
2025-12-10T05:07:10.242531 lat_gnss: 46.9739456
2025-12-10T05:07:10.242531 lon_gnss: 177.1400146
2025-12-10T05:07:10.253539 battery_voltage: 9.67
2025-12-10T05:07:10.255545 rssi: -59.00
2025-12-10T05:07:10.256050 time_since_last_packet: 125
2025-12-10T05:07:10.373103 temperature > 80 C: 62
2025-12-10T05:07:10.374604 subsystem_status: 1
2025-12-10T05:07:10.377113 flight_mode: 0
2025-12-10T05:07:10.377613 low_power_mode: 0
2025-12-10T05:07:10.378113 status_events: 6
2025-12-10T05:07:10.381112 acceleration: 14.6700
2025-12-10T05:07:10.381613 height_pressure: 674.70
2025-12-10T05:07:10.385162 height_gnss: 198.30
2025-12-10T05:07:10.385673 lat_gnss: 22.3228836
2025-12-10T05:07:10.389176 lon_gnss: -68.1328277
2025-12-10T05:07:10.390178 battery_voltage: 5.21
2025-12-10T05:07:10.393177 rssi: -35.00
2025-12-10T05:07:10.393677 time_since_last_packet: 126
2025-12-10T05:07:10.519888 temperature > 80 C: 29
2025-12-10T05:07:10.520387 subsystem_status: 3
2025-12-10T05:07:10.520887 flight_mode: 0
2025-12-10T05:07:10.520887 low_power_mode: 0
2025-12-10T05:07:10.524388 status_events: 196
2025-12-10T05:07:10.524887 acceleration: 0.5700
2025-12-10T05:07:10.528392 height_pressure: 517.00
2025-12-10T05:07:10.528893 height_gnss: 745.50
2025-12-10T05:07:10.532735 lat_gnss: 81.1283493
2025-12-10T05:07:10.533241 lon_gnss: 72.8566207
2025-12-10T05:07:10.536485 battery_voltage: 8.28
2025-12-10T05:07:10.536986 rssi: -98.00
2025-12-10T05:07:10.540486 time_since_last_packet: 126
2025-12-10T05:07:10.667473 temperature > 80 C: 87
2025-12-10T05:07:10.668475 subsystem_status: 0
2025-12-10T05:07:10.669473 flight_mode: 0
2025-12-10T05:07:10.669973 low_power_mode: 0
2025-12-10T05:07:10.670473 status_events: 55
2025-12-10T05:07:10.671975 acceleration: 8.0700
2025-12-10T05:07:10.672481 height_pressure: 456.40
2025-12-10T05:07:10.675998 height_gnss: 925.80
2025-12-10T05:07:10.677000 lat_gnss: 69.7942886
2025-12-10T05:07:10.677508 lon_gnss: -136.4525756
2025-12-10T05:07:10.680003 battery_voltage: 6.78
2025-12-10T05:07:10.680504 rssi: -62.00
2025-12-10T05:07:10.684049 time_since_last_packet: 125
2025-12-10T05:07:10.810006 temperature > 80 C: 49
2025-12-10T05:07:10.810513 subsystem_status: 0
2025-12-10T05:07:10.811013 flight_mode: 1
2025-12-10T05:07:10.811513 low_power_mode: 1
2025-12-10T05:07:10.812013 status_events: 119
