"Reference","Qty","Value","Footprint","DNP","Purchase-URL"
"C1,C3,C6","3","4.7u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","https://www.digikey.de/de/products/detail/samsung-electro-mechanics/CL21A475KPFNNNE/3886917"
"C2,C4,C5","3","0.1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","https://www.digikey.de/de/products/detail/samsung-electro-mechanics/CL21B104KBCNNNC/3886661"
"C7","1","10u Tantal","Footprints:CAPMP3216X180N","","https://www.digikey.de/en/products/detail/kyocera-avx/TAJA106M010RNJ/564869"
"C9,C10,C11,C12","4","1u","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","https://www.digikey.de/de/products/detail/samsung-electro-mechanics/CL21B105KBFNNNE/3886687"
"C13","1","100u Elko","Capacitor_THT:CP_Radial_D6.3mm_P2.50mm","","https://www.digikey.de/en/products/detail/elna-america/RSRC2101M1ED07119T/7042186"
"D1,D2,D3,D7,D16,D27,D28,D29,D30,D31,D32,D33,D34","13","orange","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","https://www.digikey.de/de/products/detail/liteon/LTST-C170KFKT/386775"
"D4","1","Cree RGB LED","Footprints:Cree RGB LED","","https://www.digikey.de/de/products/detail/cree-led/CLP6C-FKB-CK1P1G1BB7R3R3/2341952"
"D5,D8,D14","3","SP0503BAHT","Package_TO_SOT_SMD:SOT-143","","https://www.digikey.de/en/products/detail/littelfuse-inc/SP0503BAHTG/1154308"
"D6,D11,D12,D15","4","green","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","https://www.digikey.de/de/products/detail/liteon/LTST-C171KGKT/386799"
"D9","1","red","LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder","","https://www.digikey.de/de/products/detail/liteon/LTST-C171KRKT/386801"
"D10","1","BAT43","Diode_SMD:D_SOD-123","","https://www.digikey.de/en/products/detail/mcc-micro-commercial-components/BAT43W-TP/717224"
"D13","1","WE-TVS_SOT23-3L_824021","Package_TO_SOT_SMD:SOT-23-3","","https://www.digikey.de/en/products/detail/w%C3%BCrth-elektronik/824021/3900544"
"J1,J2,J4,J12","4","USB-C","Footprints:GCT_USB4216-03-A_REVA","","https://www.digikey.de/en/products/detail/gct/USB4216-03-A/26598207"
"J3,J5,J6,J7","4","ICD15S13E4GV00LF","Footprints:AMPHENOL_ICD15S13E4GV00LF[1]","","https://www.digikey.de/en/products/detail/amphenol-cs-fci/ICD15S13E4GV00LF/1536418"
"J8","1","LD09S33E4GV00LF","Footprints:AMPHENOL_LD09S33E4GV00LF","","https://www.digikey.de/en/products/detail/amphenol-cs-fci/LD09S33E4GV00LF/4997294"
"J9","1","Conn_01x04_Socket","Connector_PinSocket_2.54mm:PinSocket_1x04_P2.54mm_Vertical","","~"
"J10,J11","2","Conn_01x01","Footprints:Banana_CT3151-0,Footprints:Banana_CT3151-2","","~"
"M1,M2,M3,M4","4","M4 Mounting Hole","Footprints:M4 Mounting Hole","","~"
"R1,R2,R3,R4,R5,R6,R11,R12,R17,R20,R21,R25,R26,R37,R47,R48,R51,R52,R53,R54,R55,R56","22","560R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.digikey.de/de/products/detail/stackpole-electronics-inc/RMCF0805JT560R/1757876"
"R7,R8,R13,R14,R22,R27,R40,R41","8","5k1","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.digikey.de/en/products/detail/stackpole-electronics-inc/RNCF0805DTE5K10/6241868"
"R9,R15,R24","3","47k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.digikey.de/en/products/detail/stackpole-electronics-inc/RMCF0805JT47K0/1757842"
"R10,R16,R23","3","22k","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.digikey.de/en/products/detail/stackpole-electronics-inc/RMCF0805JT22K0/1757908"
"R18,R19","2","470R","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.digikey.de/en/products/detail/stackpole-electronics-inc/RMCF0805JT470R/1757849"
"R28,R29,R30,R31,R32,R33,R34,R35,R36,R38,R39","11","5k6","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","https://www.digikey.de/en/products/detail/stackpole-electronics-inc/RMCF0805JT5K60/1757920"
"SW1,SW2,SW3,SW4,SW5,SW6,SW7","7","SW_Push","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","","~"
"SW8","1","SW_DIP_x01","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","","~"
"TP1,TP2,TP3,TP6,TP7","5","TestPoint","Footprints:Test Point","","~"
"U1,U2,U3","3","CP2102N","Footprints:QFN20_CP2102N_SIL","","https://www.digikey.de/en/products/detail/silicon-labs/CP2102N-A02-GQFN20/9863475"
"U5","1","AVR128DB64x-xPT","Package_QFP:TQFP-64_10x10mm_P0.5mm","","https://www.digikey.de/de/products/detail/microchip-technology/AVR128DB64T-I-PT/12807279"
"U6","1","MIC29300-3.3WU-TR","Footprints:MIC29300","","https://www.digikey.de/en/products/detail/microchip-technology/MIC29300-3-3WU-TR/1029111"
